"extended_id","subject_tag_s1","subject_tag_s2","r","relationship_path","race_s1","sex_s1","race_s2","sex_s2","race_2002_s1","sex_2002_s1","edu_2002_s1","occ_2002_s1","tnfi_2002_s1","ses_2002_s1","race_2002_s2","sex_2002_s2","edu_2002_s2","occ_2002_s2","tnfi_2002_s2","ses_2002_s2","race_2004_s1","sex_2004_s1","edu_2004_s1","occ_2004_s1","tnfi_2004_s1","ses_2004_s1","race_2004_s2","sex_2004_s2","edu_2004_s2","occ_2004_s2","tnfi_2004_s2","ses_2004_s2","race_2006_s1","sex_2006_s1","edu_2006_s1","occ_2006_s1","tnfi_2006_s1","ses_2006_s1","race_2006_s2","sex_2006_s2","edu_2006_s2","occ_2006_s2","tnfi_2006_s2","ses_2006_s2","flu_m_2008_s1","flu_f_2008_s1","flu_2008_s1","race_2008_s1","sex_2008_s1","edu_2008_s1","occ_2008_s1","tnfi_2008_s1","ses_2008_s1","flu_m_2008_s2","flu_f_2008_s2","flu_2008_s2","race_2008_s2","sex_2008_s2","edu_2008_s2","occ_2008_s2","tnfi_2008_s2","ses_2008_s2"
17,1700,1800,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","MALE","NON-BLACK, NON-HISPANIC","MALE","3","1",3.6969888,100,44.9865994,49.56119607,"3","1",3.7048715,100,49.2747911,50.99322087,"3","1",3.9413527,32.6923077,44.4978717,27.04384401,"3","1",3.9492354,32.6923077,38.3808923,25.00747846,"3","1",0.4769037,53.8461538,40.5959325,31.63966335,"3","1",3.6339272,34.6153846,49.050134,29.09981526,0,NA,0,"3","1",21.2793631,24.137931,39.2322245,28.2165062,0,NA,0,"3","1",35.2908718,56.8965517,40.8087656,44.33206304
29,2900,3000,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","FEMALE","NON-BLACK, NON-HISPANIC","FEMALE","3","2",3.7915813,100,49.6768091,51.15613012,"3","2",3.799464,NA,18.6465395,11.22300173,"3","2",4.0359451,76.9230769,45.3373798,42.09880062,"3","2",4.0438278,NA,19.0249093,11.5343686,"3","2",3.7206369,71.1538462,50.5833202,41.81926776,"3","2",3.7285196,NA,48.0293237,25.87892165,NA,0,0,"3","2",21.2793631,79.3103448,47.4775343,49.3557474,NA,0,0,"3","2",41.4472647,NA,23.1790951,32.31317988
37,3700,3800,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","FEMALE","NON-BLACK, NON-HISPANIC","FEMALE","3","2",3.8546429,50,46.3818382,33.41216039,"3","2",3.8625256,50,32.8511745,28.90456671,"3","2",4.0990068,32.6923077,46.949393,27.91356917,"3","2",4.1068895,32.6923077,41.920227,26.23980807,"3","2",3.7836986,59.6153846,25.0433549,29.48081269,"3","2",3.7915813,59.6153846,47.3750591,36.92734167,NA,0,0,"3","2",21.2793631,43.1034483,45.7039256,36.69557898,NA,1,1,"3","2",21.2793631,67.2413793,45.4240895,44.64827731
40,4000,4100,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","MALE","NON-BLACK, NON-HISPANIC","MALE","3","1",1.0011036,100,32.9181775,44.63976037,"3","1",3.878291,100,44.9865994,49.62163014,"3","1",1.7105471,80.7692308,44.9393032,42.473027,"3","1",4.1226549,32.6923077,35.9372537,24.25073875,"3","1",3.8073467,75,51.7578433,43.52172999,"3","1",3.8152294,34.6153846,49.8226391,29.41775104,0,NA,0,"3","1",41.4472647,67.2413793,48.2539808,52.31420826,0,NA,0,"3","1",51.4031216,56.8965517,41.2541384,49.85127057
58,5800,5900,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","FEMALE","NON-BLACK, NON-HISPANIC","MALE","3","2",4.012297,NA,51.6947816,27.85353933,"3","1",4.0201797,50,51.7026644,35.24094803,"3","2",4.2566609,76.9230769,37.1906038,39.45678054,"3","1",4.2645436,8.6538462,52.4672868,21.79522551,"3","2",3.9492354,71.1538462,45.6211572,40.2414129,"3","1",3.9571181,13.4615385,56.8500709,24.7562425,NA,1,1,"3","2",56.0026801,56.8965517,53.2476746,55.38230215,0,NA,0,"3","1",21.2793631,18.9655172,53.2555573,31.16681254
61,6100,6200,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","FEMALE","NON-BLACK, NON-HISPANIC","FEMALE","3","2",4.0359451,100,48.9910137,51.00898628,"3","2",1.0011036,50,27.2859845,26.09569604,"3","2",4.280309,65.3846154,49.8502286,39.83838433,"3","2",4.2881917,32.6923077,38.6410216,25.20717367,"3","2",3.9728835,71.1538462,52.6012928,42.57600747,"3","2",3.9807662,59.6153846,29.6862683,31.09413971,NA,1,1,"3","2",41.4472647,77.5862069,49.1250197,56.05283043,NA,1,1,"3","2",21.2793631,43.1034483,18.6307741,27.67119514
67,6700,6800,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","MALE","NON-BLACK, NON-HISPANIC","FEMALE","3","1",4.0753587,100,51.0129276,51.69609543,"3","2",4.0832414,NA,51.0129276,27.5480845,"3","1",4.3276052,NA,52.5067003,28.41715277,"3","2",4.3354879,NA,51.7460192,28.04075359,"3","1",4.0201797,NA,56.8816018,30.45089075,"3","2",4.0280624,NA,56.1958064,30.11193442,0,NA,0,"3","1",57.8235851,67.2413793,52.5027589,59.1892411,NA,0,0,"3","2",57.8235851,NA,53.2949708,55.55927794
74,7500,7600,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","FEMALE","NON-BLACK, NON-HISPANIC","MALE","3","2",4.1384203,100,51.765726,51.96804877,"3","1",4.146303,100,34.9519155,46.36607284,"3","2",4.3906669,32.6923077,44.5057544,27.19624298,"3","1",4.3985496,10.5769231,34.9203847,16.63195245,"3","2",4.0832414,34.6153846,49.050134,29.24958666,"3","1",4.0911241,21.1538462,43.7608387,23.00193632,NA,0,0,"3","2",51.4031216,56.8965517,45.9128173,51.40416352,0,NA,0,"3","1",41.4472647,NA,45.9128173,43.68004099
83,8300,8400,0.5,"Gen1Housemates","BLACK","MALE","BLACK","MALE","2","1",4.2014819,NA,4.1305376,4.166009775,"2","1",4.2093647,50,6.1012139,20.1035262,"2","1",4.4537285,NA,52.5461138,28.49992117,"2","1",4.4616112,NA,0.7606811,2.611146145,"2","1",4.146303,NA,56.928898,30.5376005,"2","1",4.1541857,NA,4.4576699,4.305927794,0,NA,0,"2","1",4.2724263,NA,53.3501498,28.81128803,1,NA,1,"2","1",7.5476904,NA,0.949866,4.248778181
90,9000,9100,0.5,"Gen1Housemates","NON-BLACK, NON-HISPANIC","MALE","NON-BLACK, NON-HISPANIC","FEMALE","3","1",4.2566609,100,45.1954911,49.81738399,"3","2",4.2645436,100,41.4117925,48.55877871,"3","1",4.5089075,65.3846154,48.6126439,39.50205557,"3","2",4.5167902,32.6923077,39.0824531,25.43051698,"3","1",4.2014819,71.1538462,30.7819644,35.37909749,"3","2",4.2093647,34.6153846,36.4378055,25.08751824,1,NA,1,"3","1",51.4031216,77.5862069,49.3220873,59.4371386,NA,0,0,"3","2",51.4031216,56.8965517,33.5448526,47.28150862
